Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,sepal_area,petal_length,Color,sepal_category
1,5.1,3.5,,0.2,Iris-setosa,17.849999999999998,3.8074829931972793,red,large
2,4.9,3.0,,0.2,Iris-setosa,14.700000000000001,3.8074829931972793,red,small
3,4.7,3.2,,0.2,Iris-setosa,15.040000000000001,3.8074829931972793,red,large
4,4.6,3.1,1.5,0.2,Iris-setosa,14.26,1.5,red,small
5,5.0,3.6,1.4,0.2,Iris-setosa,18.0,1.4,red,large
6,5.4,3.9,1.7,0.4,Iris-setosa,21.060000000000002,1.7,red,large
7,4.6,3.4,1.4,0.3,Iris-setosa,15.639999999999999,1.4,red,large
8,5.0,3.4,1.5,0.2,Iris-setosa,17.0,1.5,red,large
9,4.4,2.9,1.4,0.2,Iris-setosa,12.76,1.4,red,small
10,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,1.5,red,large
11,5.4,3.7,1.5,0.2,Iris-setosa,19.980000000000004,1.5,red,large
12,4.8,3.4,1.6,0.2,Iris-setosa,16.32,1.6,red,large
13,4.8,3.0,1.4,0.1,Iris-setosa,14.399999999999999,1.4,red,small
14,4.3,3.0,1.1,0.1,Iris-setosa,12.899999999999999,1.1,red,small
15,5.8,4.0,1.2,0.2,Iris-setosa,23.2,1.2,red,large
16,5.7,4.4,1.5,0.4,Iris-setosa,25.080000000000002,1.5,red,large
17,5.4,3.9,1.3,0.4,Iris-setosa,21.060000000000002,1.3,red,large
18,5.1,3.5,1.4,0.3,Iris-setosa,17.849999999999998,1.4,red,large
19,5.7,3.8,1.7,0.3,Iris-setosa,21.66,1.7,red,large
20,5.1,3.8,1.5,0.3,Iris-setosa,19.38,1.5,red,large
21,5.4,3.4,1.7,0.2,Iris-setosa,18.36,1.7,red,large
22,5.1,3.7,1.5,0.4,Iris-setosa,18.87,1.5,red,large
23,4.6,3.6,1.0,0.2,Iris-setosa,16.56,1.0,red,large
24,5.1,3.3,1.7,0.5,Iris-setosa,16.83,1.7,red,large
25,4.8,3.4,1.9,0.2,Iris-setosa,16.32,1.9,red,large
26,5.0,3.0,1.6,0.2,Iris-setosa,15.0,1.6,red,large
27,5.0,3.4,1.6,0.4,Iris-setosa,17.0,1.6,red,large
28,5.2,3.5,1.5,0.2,Iris-setosa,18.2,1.5,red,large
29,5.2,3.4,1.4,0.2,Iris-setosa,17.68,1.4,red,large
30,4.7,3.2,1.6,0.2,Iris-setosa,15.040000000000001,1.6,red,large
31,4.8,3.1,1.6,0.2,Iris-setosa,14.879999999999999,1.6,red,small
32,5.4,3.4,1.5,0.4,Iris-setosa,18.36,1.5,red,large
33,5.2,4.1,1.5,0.1,Iris-setosa,21.32,1.5,red,large
34,5.5,4.2,1.4,0.2,Iris-setosa,23.1,1.4,red,large
35,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,1.5,red,large
36,5.0,3.2,1.2,0.2,Iris-setosa,16.0,1.2,red,large
37,5.5,3.5,1.3,0.2,Iris-setosa,19.25,1.3,red,large
38,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,1.5,red,large
39,4.4,3.0,1.3,0.2,Iris-setosa,13.200000000000001,1.3,red,small
40,5.1,3.4,1.5,0.2,Iris-setosa,17.34,1.5,red,large
41,5.0,3.5,1.3,0.3,Iris-setosa,17.5,1.3,red,large
42,4.5,2.3,1.3,0.3,Iris-setosa,10.35,1.3,red,small
43,4.4,3.2,1.3,0.2,Iris-setosa,14.080000000000002,1.3,red,small
44,5.0,3.5,1.6,0.6,Iris-setosa,17.5,1.6,red,large
45,5.1,3.8,1.9,0.4,Iris-setosa,19.38,1.9,red,large
46,4.8,3.0,1.4,0.3,Iris-setosa,14.399999999999999,1.4,red,small
47,5.1,3.8,1.6,0.2,Iris-setosa,19.38,1.6,red,large
48,4.6,3.2,1.4,0.2,Iris-setosa,14.719999999999999,1.4,red,small
49,5.3,3.7,1.5,0.2,Iris-setosa,19.61,1.5,red,large
50,5.0,3.3,1.4,0.2,Iris-setosa,16.5,1.4,red,large
51,7.0,3.2,4.7,1.4,Iris-versicolor,22.400000000000002,4.7,blue,large
52,6.4,3.2,4.5,1.5,Iris-versicolor,20.480000000000004,4.5,blue,large
53,6.9,3.1,4.9,1.5,Iris-versicolor,21.39,4.9,blue,large
54,5.5,2.3,4.0,1.3,Iris-versicolor,12.649999999999999,4.0,blue,small
55,6.5,2.8,4.6,1.5,Iris-versicolor,18.2,4.6,blue,large
56,5.7,2.8,4.5,1.3,Iris-versicolor,15.959999999999999,4.5,blue,large
57,6.3,3.3,4.7,1.6,Iris-versicolor,20.79,4.7,blue,large
58,4.9,2.4,3.3,1.0,Iris-versicolor,11.76,3.3,blue,small
59,6.6,2.9,4.6,1.3,Iris-versicolor,19.139999999999997,4.6,blue,large
60,5.2,2.7,3.9,1.4,Iris-versicolor,14.040000000000001,3.9,blue,small
61,5.0,2.0,3.5,1.0,Iris-versicolor,10.0,3.5,blue,small
62,5.9,3.0,4.2,1.5,Iris-versicolor,17.700000000000003,4.2,blue,large
63,6.0,2.2,4.0,1.0,Iris-versicolor,13.200000000000001,4.0,blue,small
64,6.1,2.9,4.7,1.4,Iris-versicolor,17.689999999999998,4.7,blue,large
65,5.6,2.9,3.6,1.3,Iris-versicolor,16.24,3.6,blue,large
66,6.7,3.1,4.4,1.4,Iris-versicolor,20.77,4.4,blue,large
67,5.6,3.0,4.5,1.5,Iris-versicolor,16.799999999999997,4.5,blue,large
68,5.8,2.7,4.1,1.0,Iris-versicolor,15.66,4.1,blue,large
69,6.2,2.2,4.5,1.5,Iris-versicolor,13.640000000000002,4.5,blue,small
70,5.6,2.5,3.9,1.1,Iris-versicolor,14.0,3.9,blue,small
71,5.9,3.2,4.8,1.8,Iris-versicolor,18.880000000000003,4.8,blue,large
72,6.1,2.8,4.0,1.3,Iris-versicolor,17.08,4.0,blue,large
73,6.3,2.5,4.9,1.5,Iris-versicolor,15.75,4.9,blue,large
74,6.1,2.8,4.7,1.2,Iris-versicolor,17.08,4.7,blue,large
75,6.4,2.9,4.3,1.3,Iris-versicolor,18.56,4.3,blue,large
76,6.6,3.0,4.4,1.4,Iris-versicolor,19.799999999999997,4.4,blue,large
77,6.8,2.8,4.8,1.4,Iris-versicolor,19.04,4.8,blue,large
78,6.7,3.0,5.0,1.7,Iris-versicolor,20.1,5.0,blue,large
79,6.0,2.9,4.5,1.5,Iris-versicolor,17.4,4.5,blue,large
80,5.7,2.6,3.5,1.0,Iris-versicolor,14.82,3.5,blue,small
81,5.5,2.4,3.8,1.1,Iris-versicolor,13.2,3.8,blue,small
82,5.5,2.4,3.7,1.0,Iris-versicolor,13.2,3.7,blue,small
83,5.8,2.7,3.9,1.2,Iris-versicolor,15.66,3.9,blue,large
84,6.0,2.7,5.1,1.6,Iris-versicolor,16.200000000000003,5.1,blue,large
85,5.4,3.0,4.5,1.5,Iris-versicolor,16.200000000000003,4.5,blue,large
86,6.0,3.4,4.5,1.6,Iris-versicolor,20.4,4.5,blue,large
87,6.7,3.1,4.7,1.5,Iris-versicolor,20.77,4.7,blue,large
88,6.3,2.3,4.4,1.3,Iris-versicolor,14.489999999999998,4.4,blue,small
89,5.6,3.0,4.1,1.3,Iris-versicolor,16.799999999999997,4.1,blue,large
90,5.5,2.5,4.0,1.3,Iris-versicolor,13.75,4.0,blue,small
91,5.5,2.6,4.4,1.2,Iris-versicolor,14.3,4.4,blue,small
92,6.1,3.0,4.6,1.4,Iris-versicolor,18.299999999999997,4.6,blue,large
93,5.8,2.6,4.0,1.2,Iris-versicolor,15.08,4.0,blue,large
94,5.0,2.3,3.3,1.0,Iris-versicolor,11.5,3.3,blue,small
95,5.6,2.7,4.2,1.3,Iris-versicolor,15.12,4.2,blue,large
96,5.7,3.0,4.2,1.2,Iris-versicolor,17.1,4.2,blue,large
97,5.7,2.9,4.2,1.3,Iris-versicolor,16.53,4.2,blue,large
98,6.2,2.9,4.3,1.3,Iris-versicolor,17.98,4.3,blue,large
99,5.1,2.5,3.0,1.1,Iris-versicolor,12.75,3.0,blue,small
100,5.7,2.8,4.1,1.3,Iris-versicolor,15.959999999999999,4.1,blue,large
101,6.3,3.3,6.0,2.5,Iris-virginica,20.79,6.0,green,large
102,5.8,2.7,5.1,1.9,Iris-virginica,15.66,5.1,green,large
103,7.1,3.0,5.9,2.1,Iris-virginica,21.299999999999997,5.9,green,large
104,6.3,2.9,5.6,1.8,Iris-virginica,18.27,5.6,green,large
105,6.5,3.0,5.8,2.2,Iris-virginica,19.5,5.8,green,large
106,7.6,3.0,6.6,2.1,Iris-virginica,22.799999999999997,6.6,green,large
107,4.9,2.5,4.5,1.7,Iris-virginica,12.25,4.5,green,small
108,7.3,2.9,6.3,1.8,Iris-virginica,21.169999999999998,6.3,green,large
109,6.7,2.5,5.8,1.8,Iris-virginica,16.75,5.8,green,large
110,7.2,3.6,6.1,2.5,Iris-virginica,25.92,6.1,green,large
111,6.5,3.2,5.1,2.0,Iris-virginica,20.8,5.1,green,large
112,6.4,2.7,5.3,1.9,Iris-virginica,17.28,5.3,green,large
113,6.8,3.0,5.5,2.1,Iris-virginica,20.4,5.5,green,large
114,5.7,2.5,5.0,2.0,Iris-virginica,14.25,5.0,green,small
115,5.8,2.8,5.1,2.4,Iris-virginica,16.24,5.1,green,large
116,6.4,3.2,5.3,2.3,Iris-virginica,20.480000000000004,5.3,green,large
117,6.5,3.0,5.5,1.8,Iris-virginica,19.5,5.5,green,large
118,7.7,3.8,6.7,2.2,Iris-virginica,29.259999999999998,6.7,green,large
119,7.7,2.6,6.9,2.3,Iris-virginica,20.02,6.9,green,large
120,6.0,2.2,5.0,1.5,Iris-virginica,13.200000000000001,5.0,green,small
121,6.9,3.2,5.7,2.3,Iris-virginica,22.080000000000002,5.7,green,large
122,5.6,2.8,4.9,2.0,Iris-virginica,15.679999999999998,4.9,green,large
123,7.7,2.8,6.7,2.0,Iris-virginica,21.56,6.7,green,large
124,6.3,2.7,4.9,1.8,Iris-virginica,17.01,4.9,green,large
125,6.7,3.3,5.7,2.1,Iris-virginica,22.11,5.7,green,large
126,7.2,3.2,6.0,1.8,Iris-virginica,23.040000000000003,6.0,green,large
127,6.2,2.8,4.8,1.8,Iris-virginica,17.36,4.8,green,large
128,6.1,3.0,4.9,1.8,Iris-virginica,18.299999999999997,4.9,green,large
129,6.4,2.8,5.6,2.1,Iris-virginica,17.919999999999998,5.6,green,large
130,7.2,3.0,5.8,1.6,Iris-virginica,21.6,5.8,green,large
131,7.4,2.8,6.1,1.9,Iris-virginica,20.72,6.1,green,large
132,7.9,3.8,6.4,2.0,Iris-virginica,30.02,6.4,green,large
133,6.4,2.8,5.6,2.2,Iris-virginica,17.919999999999998,5.6,green,large
134,6.3,2.8,5.1,1.5,Iris-virginica,17.639999999999997,5.1,green,large
135,6.1,2.6,5.6,1.4,Iris-virginica,15.86,5.6,green,large
136,7.7,3.0,6.1,2.3,Iris-virginica,23.1,6.1,green,large
137,6.3,3.4,5.6,2.4,Iris-virginica,21.419999999999998,5.6,green,large
138,6.4,3.1,5.5,1.8,Iris-virginica,19.840000000000003,5.5,green,large
139,6.0,3.0,4.8,1.8,Iris-virginica,18.0,4.8,green,large
140,6.9,3.1,5.4,2.1,Iris-virginica,21.39,5.4,green,large
141,6.7,3.1,5.6,2.4,Iris-virginica,20.77,5.6,green,large
142,6.9,3.1,5.1,2.3,Iris-virginica,21.39,5.1,green,large
143,5.8,2.7,5.1,1.9,Iris-virginica,15.66,5.1,green,large
144,6.8,3.2,5.9,2.3,Iris-virginica,21.76,5.9,green,large
145,6.7,3.3,5.7,2.5,Iris-virginica,22.11,5.7,green,large
146,6.7,3.0,5.2,2.3,Iris-virginica,20.1,5.2,green,large
147,6.3,2.5,5.0,1.9,Iris-virginica,15.75,5.0,green,large
148,6.5,3.0,5.2,2.0,Iris-virginica,19.5,5.2,green,large
149,6.2,3.4,5.4,2.3,Iris-virginica,21.08,5.4,green,large
150,5.9,3.0,5.1,1.8,Iris-virginica,17.700000000000003,5.1,green,large
